"","res","nlayers","crs","path","date","part","id","id_part"
"18",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P001_PAN/13AUG17163951-P2AS_R2C1-010623053040_01_P001.TIF",2013-08-17 16:39:51,"P001","010623053040_01","010623053040_01_P001"
"19",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P002_PAN/13AUG17163927-P2AS_R1C1-010623053040_01_P002.TIF",2013-08-17 16:39:27,"P002","010623053040_01","010623053040_01_P002"
"20",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P002_PAN/13AUG17163927-P2AS_R1C2-010623053040_01_P002.TIF",2013-08-17 16:39:27,"P002","010623053040_01","010623053040_01_P002"
"21",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P001_PAN/13AUG17163950-P2AS-010623053050_01_P001.TIF",2013-08-17 16:39:50,"P001","010623053050_01","010623053050_01_P001"
"22",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P002_PAN/13AUG17163928-P2AS_R1C1-010623053050_01_P002.TIF",2013-08-17 16:39:28,"P002","010623053050_01","010623053050_01_P002"
"23",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P002_PAN/13AUG17163928-P2AS_R1C2-010623053050_01_P002.TIF",2013-08-17 16:39:28,"P002","010623053050_01","010623053050_01_P002"
"24",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P002_PAN/13AUG17163928-P2AS_R2C1-010623053050_01_P002.TIF",2013-08-17 16:39:28,"P002","010623053050_01","010623053050_01_P002"
"25",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053060_01/010623053060_01_P001_PAN/12JUL12162147-P2AS-010623053060_01_P001.TIF",2012-07-12 16:21:47,"P001","010623053060_01","010623053060_01_P001"
"26",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053070_01/010623053070_01_P001_PAN/11JUN03160459-P2AS_R1C1-010623053070_01_P001.TIF",2011-06-03 16:04:59,"P001","010623053070_01","010623053070_01_P001"
"27",0.5,1,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84
+towgs84=0,0,0","digitalglobe_archives/010623053070_01/010623053070_01_P001_PAN/11JUN03160459-P2AS_R1C2-010623053070_01_P001.TIF",2011-06-03 16:04:59,"P001","010623053070_01","010623053070_01_P001"
