"","sats","bands","X","abscalfactor","effectivebandwidth","id_part","solar_zenith","view_angle","date","gain","offset","exo_thuilier","exo_chkur","exo_wrc","alt_m"
"39","WV02","G",66,0.009713071,0.063,"010623053050_01_P001",32.1,32.5,"2013-08-17 16:39:05",0.936,-3.546,1829.62,1857.89,1856.03,770000
"40","WV02","G",21,0.009713071,0.063,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",0.936,-3.546,1829.62,1857.89,1856.03,770000
"41","WV02","P",90,0.05678345,0.2846,"010623053060_01_P001",24.6,26.5,"2012-07-12 16:21:47",0.942,-2.704,1571.36,1575.38,1580.76,770000
"42","WV02","P",72,0.05678345,0.2846,"010623053050_01_P001",32.1,32.4,"2013-08-17 16:39:50",0.942,-2.704,1571.36,1575.38,1580.76,770000
"43","WV02","P",63,0.05678345,0.2846,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:27",0.942,-2.704,1571.36,1575.38,1580.76,770000
"44","WV02","P",36,0.03788831,0.2846,"010623053030_01_P001",39.3,31.2,"2016-09-05 16:20:47",0.942,-2.704,1571.36,1575.38,1580.76,770000
"45","WV02","P",27,0.03788831,0.2846,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:48",0.942,-2.704,1571.36,1575.38,1580.76,770000
"46","WV02","B",92,0.01783568,0.0543,"010623053070_01_P001",25.3,13.4,"2011-06-03 16:04:05",0.988,-5.736,2007.27,1977.4,1974.29,770000
"47","WV02","N",43,0.0122438,0.0989,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:02",0.961,-3.3,1053.21,1061.4,1069.59,770000
"48","WV02","N",79,0.0122438,0.0989,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",0.961,-3.3,1053.21,1061.4,1069.59,770000
"49","WV02","N",88,0.02050828,0.0989,"010623053060_01_P001",24.6,26.6,"2012-07-12 16:21:04",0.961,-3.3,1053.21,1061.4,1069.59,770000
"50","WV02","N",97,0.0122438,0.0989,"010623053070_01_P001",25.3,13.4,"2011-06-03 16:04:05",0.961,-3.3,1053.21,1061.4,1069.59,770000
"51","WV02","B",20,0.01260825,0.0543,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",0.988,-5.736,2007.27,1977.4,1974.29,770000
"52","WV02","R",95,0.01103623,0.0574,"010623053070_01_P001",25.3,13.4,"2011-06-03 16:04:05",0.952,-2.512,1538.85,1554.95,1559.35,770000
"53","WV02","R",50,0.01103623,0.0574,"010623053040_01_P001",32.1,32.7,"2013-08-17 16:39:05",0.952,-2.512,1538.85,1554.95,1559.35,770000
"54","WV02","R",32,0.01103623,0.0574,"010623053030_01_P001",39.3,31.3,"2016-09-05 16:20:04",0.952,-2.512,1538.85,1554.95,1559.35,770000
"55","WV02","R",14,0.01103623,0.0574,"010623053020_01_P001",39.3,28.9,"2016-09-05 16:20:02",0.952,-2.512,1538.85,1554.95,1559.35,770000
"56","WV02","R",68,0.01103623,0.0574,"010623053050_01_P001",32.1,32.5,"2013-08-17 16:39:05",0.952,-2.512,1538.85,1554.95,1559.35,770000
"57","WV02","R",41,0.01103623,0.0574,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:02",0.952,-2.512,1538.85,1554.95,1559.35,770000
"58","WV02","R",86,0.01851735,0.0574,"010623053060_01_P001",24.6,26.6,"2012-07-12 16:21:04",0.952,-2.512,1538.85,1554.95,1559.35,770000
"59","WV02","R",23,0.01103623,0.0574,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",0.952,-2.512,1538.85,1554.95,1559.35,770000
"60","WV02","R",59,0.01103623,0.0574,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:02",0.952,-2.512,1538.85,1554.95,1559.35,770000
"61","WV02","R",77,0.01103623,0.0574,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",0.952,-2.512,1538.85,1554.95,1559.35,770000
"62","WV02","N2",80,0.009042234,0.0996,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",1.002,-2.891,586.599,856.816,861.201,770000
"63","WV02","N2",35,0.009042234,0.0996,"010623053030_01_P001",39.3,31.3,"2016-09-05 16:20:04",1.002,-2.891,586.599,856.816,861.201,770000
"64","WV02","N2",89,0.009042234,0.0996,"010623053060_01_P001",24.6,26.6,"2012-07-12 16:21:04",1.002,-2.891,586.599,856.816,861.201,770000
"65","WV02","N2",44,0.009042234,0.0996,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:02",1.002,-2.891,586.599,856.816,861.201,770000
"66","WV02","N2",53,0.009042234,0.0996,"010623053040_01_P001",32.1,32.7,"2013-08-17 16:39:05",1.002,-2.891,586.599,856.816,861.201,770000
"67","WV02","RE",96,0.006063145,0.0393,"010623053070_01_P001",25.3,13.4,"2011-06-03 16:04:05",0.974,-4.12,1346.09,1302.19,1342.05,770000
"68","WV02","RE",42,0.004539619,0.0393,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:02",0.974,-4.12,1346.09,1302.19,1342.05,770000
